
start_station_name,count
San Francisco Caltrain (Townsend at 4th),38770
San Francisco Caltrain 2 (330 Townsend),30345
Harry Bridges Plaza (Ferry Building),19847
Temporary Transbay Terminal (Howard at Beale),19033
Steuart at Market,14854
2nd at Townsend,10660
Grant Avenue at Columbus Avenue,10115
Market at Sansome,7793
Market at 10th,7640
Embarcadero at Bryant,7423
Civic Center BART (7th at Market),7402
Beale at Market,7079
Townsend at 7th,6258
Embarcadero at Sansome,6209
San Jose Diridon Caltrain Station,5677
South Van Ness at Market,5659
Powell Street BART,5607
Powell at Post (Union Square),4941
2nd at South Park,4593
Mountain View Caltrain Station,4505
